geoid,name,total_population,total_population_25_over,median_income,median_home_value,educational_attainment,white_alone,black_alone,native_alone,asian_alone,native_hawaiian_pacific_islander,some_other_race_alone,two_or_more,hispanic_or_latino,city,metro_area,total_population_25_under,proportion_25_under
11001006801,"Census Tract 68.01, District of Columbia, District of Columbia",2350,1896.0,89327.0,598500.0,1205.0,1052.0,993.0,4.0,90.0,0.0,10.0,74.0,131.0,Washington,Washington-Arlington-Alexandria,454.0,0.19319148936170213
11001006804,"Census Tract 68.04, District of Columbia, District of Columbia",2733,2150.0,156583.0,822400.0,167.0,159.0,2360.0,13.0,0.0,0.0,22.0,40.0,143.0,Washington,Washington-Arlington-Alexandria,583.0,0.2133186974021222
11001007000,"Census Tract 70, District of Columbia, District of Columbia",2923,1956.0,124583.0,834100.0,1667.0,1999.0,290.0,0.0,59.0,0.0,32.0,179.0,364.0,Washington,Washington-Arlington-Alexandria,967.0,0.3308244953814574
11001007301,"Census Tract 73.01, District of Columbia, District of Columbia",4606,2161.0,84009.0,-666666666.0,1305.0,2409.0,1107.0,6.0,103.0,0.0,31.0,241.0,709.0,Washington,Washington-Arlington-Alexandria,2445.0,0.5308293530178029
11001007404,"Census Tract 74.04, District of Columbia, District of Columbia",4307,2074.0,42439.0,339200.0,337.0,37.0,4058.0,0.0,8.0,0.0,87.0,0.0,117.0,Washington,Washington-Arlington-Alexandria,2233.0,0.5184583236591596
11001007504,"Census Tract 75.04, District of Columbia, District of Columbia",2906,1661.0,17077.0,316700.0,190.0,27.0,2874.0,0.0,0.0,0.0,0.0,0.0,5.0,Washington,Washington-Arlington-Alexandria,1245.0,0.4284239504473503
11001007605,"Census Tract 76.05, District of Columbia, District of Columbia",3956,2771.0,33659.0,247300.0,583.0,128.0,3418.0,0.0,69.0,0.0,0.0,127.0,214.0,Washington,Washington-Arlington-Alexandria,1185.0,0.2995449949443883
11001004001,"Census Tract 40.01, District of Columbia, District of Columbia",4400,3805.0,118988.0,600900.0,3413.0,3332.0,219.0,0.0,150.0,42.0,0.0,47.0,610.0,Washington,Washington-Arlington-Alexandria,595.0,0.13522727272727272
11001004002,"Census Tract 40.02, District of Columbia, District of Columbia",3190,2826.0,102455.0,626200.0,2624.0,2670.0,94.0,0.0,135.0,0.0,12.0,48.0,231.0,Washington,Washington-Arlington-Alexandria,364.0,0.11410658307210031
11001001901,"Census Tract 19.01, District of Columbia, District of Columbia",4065,2900.0,82963.0,445700.0,1403.0,680.0,2584.0,0.0,208.0,0.0,20.0,103.0,470.0,Washington,Washington-Arlington-Alexandria,1165.0,0.2865928659286593
11001001600,"Census Tract 16, District of Columbia, District of Columbia",4699,3399.0,169250.0,812000.0,2729.0,1254.0,2932.0,0.0,62.0,0.0,18.0,107.0,326.0,Washington,Washington-Arlington-Alexandria,1300.0,0.2766546073632688
11001002600,"Census Tract 26, District of Columbia, District of Columbia",2521,1910.0,181875.0,923800.0,1615.0,1200.0,838.0,20.0,145.0,16.0,17.0,86.0,199.0,Washington,Washington-Arlington-Alexandria,611.0,0.24236414121380404
11001005900,"Census Tract 59, District of Columbia, District of Columbia",2682,1917.0,101553.0,455200.0,1495.0,1474.0,568.0,0.0,337.0,0.0,31.0,86.0,186.0,Washington,Washington-Arlington-Alexandria,765.0,0.28523489932885904
11001005600,"Census Tract 56, District of Columbia, District of Columbia",6442,3853.0,83365.0,484800.0,3352.0,4021.0,369.0,17.0,733.0,0.0,101.0,247.0,954.0,Washington,Washington-Arlington-Alexandria,2589.0,0.40189382179447375
11001004600,"Census Tract 46, District of Columbia, District of Columbia",2863,2328.0,98698.0,641100.0,1371.0,1192.0,1309.0,0.0,133.0,0.0,0.0,36.0,193.0,Washington,Washington-Arlington-Alexandria,535.0,0.1868669228082431
11001005201,"Census Tract 52.01, District of Columbia, District of Columbia",6263,5810.0,114271.0,563900.0,4789.0,4297.0,376.0,83.0,517.0,0.0,21.0,171.0,798.0,Washington,Washington-Arlington-Alexandria,453.0,0.07232955452658471
11001007703,"Census Tract 77.03, District of Columbia, District of Columbia",6159,3471.0,26020.0,257500.0,154.0,0.0,5753.0,0.0,23.0,0.0,0.0,16.0,367.0,Washington,Washington-Arlington-Alexandria,2688.0,0.4364344861178763
11001007707,"Census Tract 77.07, District of Columbia, District of Columbia",4484,2692.0,40995.0,272800.0,398.0,21.0,4356.0,0.0,0.0,0.0,0.0,38.0,69.0,Washington,Washington-Arlington-Alexandria,1792.0,0.39964317573595004
11001008100,"Census Tract 81, District of Columbia, District of Columbia",3286,2602.0,143068.0,849700.0,2186.0,2493.0,315.0,7.0,92.0,0.0,18.0,85.0,276.0,Washington,Washington-Arlington-Alexandria,684.0,0.20815581253804016
11001008200,"Census Tract 82, District of Columbia, District of Columbia",3056,2124.0,115742.0,989800.0,1947.0,2381.0,232.0,0.0,102.0,0.0,0.0,87.0,254.0,Washington,Washington-Arlington-Alexandria,932.0,0.30497382198952877
11001008410,"Census Tract 84.10, District of Columbia, District of Columbia",1533,1160.0,141563.0,651900.0,837.0,760.0,607.0,5.0,47.0,0.0,4.0,10.0,100.0,Washington,Washington-Arlington-Alexandria,373.0,0.24331376386170905
11001008804,"Census Tract 88.04, District of Columbia, District of Columbia",2561,1876.0,43922.0,387700.0,571.0,253.0,2010.0,0.0,194.0,0.0,0.0,33.0,71.0,Washington,Washington-Arlington-Alexandria,685.0,0.26747364310816085
11001009201,"Census Tract 92.01, District of Columbia, District of Columbia",2718,1691.0,84844.0,662400.0,1174.0,1142.0,1118.0,10.0,82.0,0.0,0.0,181.0,195.0,Washington,Washington-Arlington-Alexandria,1027.0,0.3778513612950699
11001009302,"Census Tract 93.02, District of Columbia, District of Columbia",1279,1017.0,71375.0,510200.0,417.0,384.0,541.0,0.0,3.0,0.0,0.0,6.0,345.0,Washington,Washington-Arlington-Alexandria,262.0,0.20484753713838938
11001009507,"Census Tract 95.07, District of Columbia, District of Columbia",1924,1230.0,74375.0,332600.0,326.0,18.0,1603.0,0.0,0.0,0.0,0.0,11.0,292.0,Washington,Washington-Arlington-Alexandria,694.0,0.3607068607068607
11001009901,"Census Tract 99.01, District of Columbia, District of Columbia",2890,2175.0,89813.0,383800.0,985.0,95.0,2465.0,0.0,186.0,0.0,0.0,88.0,56.0,Washington,Washington-Arlington-Alexandria,715.0,0.24740484429065743
11001009903,"Census Tract 99.03, District of Columbia, District of Columbia",1952,1392.0,64279.0,304800.0,310.0,91.0,1749.0,53.0,0.0,0.0,18.0,33.0,8.0,Washington,Washington-Arlington-Alexandria,560.0,0.28688524590163933
11001009905,"Census Tract 99.05, District of Columbia, District of Columbia",2890,1785.0,40650.0,174800.0,218.0,3.0,2705.0,0.0,0.0,0.0,14.0,42.0,126.0,Washington,Washington-Arlington-Alexandria,1105.0,0.38235294117647056
11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",4473,2485.0,162981.0,1201000.0,2302.0,3440.0,327.0,0.0,196.0,0.0,0.0,147.0,363.0,Washington,Washington-Arlington-Alexandria,1988.0,0.4444444444444444
11001000400,"Census Tract 4, District of Columbia, District of Columbia",1489,1146.0,143229.0,1381900.0,906.0,973.0,50.0,0.0,146.0,0.0,0.0,56.0,264.0,Washington,Washington-Arlington-Alexandria,343.0,0.23035594358629952
11001000901,"Census Tract 9.01, District of Columbia, District of Columbia",7799,3352.0,242208.0,1477400.0,2824.0,5385.0,546.0,7.0,514.0,0.0,8.0,201.0,1138.0,Washington,Washington-Arlington-Alexandria,4447.0,0.570201307859982
11001000902,"Census Tract 9.02, District of Columbia, District of Columbia",2584,1766.0,205469.0,1179600.0,1532.0,2050.0,51.0,0.0,52.0,0.0,0.0,99.0,332.0,Washington,Washington-Arlington-Alexandria,818.0,0.31656346749226005
11001001002,"Census Tract 10.02, District of Columbia, District of Columbia",3512,2272.0,99167.0,421800.0,1832.0,2349.0,154.0,0.0,317.0,0.0,14.0,165.0,513.0,Washington,Washington-Arlington-Alexandria,1240.0,0.3530751708428246
11001001200,"Census Tract 12, District of Columbia, District of Columbia",5031,3894.0,125179.0,844300.0,3356.0,3783.0,290.0,0.0,292.0,0.0,0.0,226.0,440.0,Washington,Washington-Arlington-Alexandria,1137.0,0.22599880739415623
11001002001,"Census Tract 20.01, District of Columbia, District of Columbia",3150,2266.0,63060.0,765300.0,912.0,611.0,1326.0,77.0,77.0,0.0,173.0,48.0,910.0,Washington,Washington-Arlington-Alexandria,884.0,0.2806349206349206
11001003100,"Census Tract 31, District of Columbia, District of Columbia",3282,2709.0,94939.0,574700.0,1527.0,945.0,934.0,32.0,164.0,0.0,26.0,84.0,1097.0,Washington,Washington-Arlington-Alexandria,573.0,0.1745886654478976
11001002201,"Census Tract 22.01, District of Columbia, District of Columbia",2955,2355.0,65069.0,564900.0,904.0,563.0,1960.0,14.0,66.0,0.0,0.0,22.0,330.0,Washington,Washington-Arlington-Alexandria,600.0,0.20304568527918782
11001002502,"Census Tract 25.02, District of Columbia, District of Columbia",6389,5193.0,73464.0,564800.0,2119.0,1185.0,2446.0,0.0,283.0,0.0,24.0,206.0,2245.0,Washington,Washington-Arlington-Alexandria,1196.0,0.18719674440444514
11001002900,"Census Tract 29, District of Columbia, District of Columbia",4465,3476.0,103700.0,608300.0,2192.0,1752.0,1088.0,0.0,157.0,0.0,0.0,145.0,1323.0,Washington,Washington-Arlington-Alexandria,989.0,0.22150055991041434
11001003200,"Census Tract 32, District of Columbia, District of Columbia",4822,3715.0,92375.0,483300.0,1693.0,1191.0,2212.0,0.0,234.0,0.0,0.0,29.0,1156.0,Washington,Washington-Arlington-Alexandria,1107.0,0.2295727913728743
11001003302,"Census Tract 33.02, District of Columbia, District of Columbia",2256,1796.0,112426.0,681500.0,1346.0,1085.0,887.0,4.0,85.0,0.0,23.0,66.0,106.0,Washington,Washington-Arlington-Alexandria,460.0,0.20390070921985815
